χ²,L1,L2,L3,L4,L5,L6,L7,L8,c
412.972783943607,0.0005208078465106748,0.0010478766171166953,-0.0027367350733244183,-0.0002248312711044786,0.0008732969079369327,7.0e-5,-0.0005083294795037712,0.0006191542293352249,0.00012033993585234894
414.02007767242384,0.0005296575219184839,0.0010511801148894956,-0.0027102570955529768,-0.00022224308231451068,0.001980588803249547,7.0e-5,-0.0006893289658247491,0.0011735975175144883,9.556566138723141e-5
407.0979472808042,0.0005408147274819337,0.001071094569224828,-0.002749822437696717,-0.00021533617011503306,0.0011763178041301716,7.0e-5,-0.0005262030682918388,0.0006974419820313788,0.00011070053307922374
415.1741267770575,0.0005177228970937995,0.0010236147258474461,-0.002707216670995952,-0.00021592814867815174,0.0017549287923086822,7.0e-5,-0.0006946242076837487,0.0011232297612476377,0.00011061036195083264
410.2452380749683,0.0005481332944622324,0.0010787496554126685,-0.0027815093254123205,-0.00020335544090660236,0.000393111540181384,7.0e-5,-0.0004266113326705258,0.00036067934666997233,0.00010828567772602169
411.9972758908706,0.0005437281256748699,0.001068604946638495,-0.0027730150544100682,-0.00020267008106276073,0.000642934176969651,7.0e-5,-0.0004695452734611525,0.0004879493406002189,9.330285679628577e-5
413.13915589735285,0.0005434533376873615,0.0010627739138540184,-0.0027623578747808237,-0.00021014039956757162,0.0011999612240445098,7.0e-5,-0.0004617583452547909,0.0006570383740326681,0.00012689139705885405
411.58200008548823,0.0005398192384634405,0.0010798183092949362,-0.002743742144597692,-0.00022710028993600093,0.0013348103307381201,7.0e-5,-0.0005925951573998059,0.000843320027764493,0.0001009108252186974
411.00409834018257,0.0005584387126671796,0.001096805456456408,-0.002805584372636748,-0.00020474528514109066,0.0004007592057061394,7.0e-5,-0.0003783659704498901,0.00028379813067016646,0.00011222758933147542
409.06649859890354,0.0005575150620589152,0.0010915172393274096,-0.0027562018381405554,-0.0001969143169330009,0.00109720575612252,7.0e-5,-0.0004844134731743459,0.0006024632212144593,0.00011384733477275675
414.04919616255694,0.0005584752092802328,0.0010765415909434121,-0.00276349715404782,-0.00018533204742205854,0.001496238502810727,7.0e-5,-0.0006505339988549151,0.0009135783617262778,0.00010160403604971731
413.75899921860633,0.0005400176826833218,0.0010762794044856204,-0.002767350706449386,-0.0002136421273881914,0.0007299000560649874,7.0e-5,-0.0004345664882410508,0.0004336597859172979,0.00011518914695567205
413.0593523031703,0.0005241272931122867,0.00102731298559025,-0.002736952808509077,-0.00019600631519660046,0.0011633593593428416,7.0e-5,-0.0004745291276343503,0.0006261243637406568,0.00011633235791560347
411.86890979355474,0.0005641177061625251,0.0010818072435956367,-0.002780848439942708,-0.00017644235014215717,0.0009292673220344003,7.0e-5,-0.0004974503760940618,0.0006113863610906507,0.00010285312087180824
413.4606960291974,0.0005686259753344565,0.0011091154480477943,-0.0027877899812482195,-0.00020764586975961723,0.0010296863438320882,7.0e-5,-0.0005257861232456208,0.0005575842786178123,0.00010421347065317073
414.5362784540098,0.0005495513886543526,0.0010945920363035066,-0.002752544140009178,-0.0002222880944662293,0.0012903064535188748,7.0e-5,-0.0005179943891374086,0.0007345159473930051,9.340591470253476e-5
415.2875656044008,0.0005168243619605785,0.0010136275743750892,-0.00269464797929657,-0.00019638343362261875,0.0018784759917135408,7.0e-5,-0.0006951000490523027,0.0011584795465916984,0.00010320451189674595
413.005107913257,0.0005488565946866566,0.0010855943120780492,-0.0027242395034311894,-0.00022256383250950359,0.002091662702930259,7.0e-5,-0.0006542437855548012,0.0010705403731477968,0.0001027103871876198
411.3386218711547,0.0005265261144500096,0.0010486331635878065,-0.0027453814723946883,-0.00021332530524684903,0.0009247362024632875,7.0e-5,-0.0004952777197439285,0.0005634605764969721,0.00011394340401899273
410.7010566553071,0.0005416975526480948,0.0010802616042226612,-0.0027725442417316434,-0.00022267259476389692,0.0006010559367903036,7.0e-5,-0.00045507955147980605,0.000494475390442643,0.00011647390265823748
411.9882303307948,0.0005340617147473898,0.0010697999703821236,-0.0027847131640981963,-0.00022535167331996472,0.00032720411181500885,7.0e-5,-0.00039189723998844003,0.00035430787165789874,0.0001104266671525065
413.51128392707074,0.000544839350473046,0.0010832377528098506,-0.002738498956451766,-0.00022366405433333464,0.0015129958978174415,7.0e-5,-0.0006636543497409949,0.0009100853990611728,0.00010148844937350563
413.2245987986644,0.000554247227539795,0.0011022220727998759,-0.0027788061309787916,-0.00022525183173664222,0.0007691762518849323,7.0e-5,-0.0005054693163473246,0.0005776621267660959,9.604781969175215e-5
409.8988578139239,0.0005328669693564381,0.0010638889432103302,-0.0027562711228325946,-0.00022347306439278951,0.0009984602274064206,7.0e-5,-0.0004771717100679872,0.0005590058132408828,0.00011018595945220946
411.90076645601545,0.000545533084855854,0.0010599401863530301,-0.0027359841202645235,-0.0001996329833185844,0.0018504887306458996,7.0e-5,-0.0006836236789094605,0.001054728909468428,9.095130864729623e-5
415.0902218480248,0.000542794260420515,0.0010458707700510374,-0.0027440583785702144,-0.00019029136306289354,0.001784638209419399,7.0e-5,-0.0006968162594422856,0.001040112060464885,0.00010982587845390634
413.2828646696536,0.0005300190523594282,0.001032097317146162,-0.0027120419334039046,-0.00020452316070929436,0.0022259646384253768,7.0e-5,-0.0006918288062168023,0.0012310023119464072,0.00010225815068427405
410.44192857667525,0.000547762492511879,0.001070153756393199,-0.002763456695583222,-0.0001923219156552874,0.0010061940940886034,7.0e-5,-0.00046023437752496085,0.0005860019772384146,0.00012056870113949611
410.02089566917635,0.0005449943999815497,0.001075995097622917,-0.002721693608620538,-0.00021222932569047492,0.001797893866927721,7.0e-5,-0.0006251165506811388,0.0009308716144814877,9.588469533139415e-5
411.0501708075102,0.0005483479225507226,0.0010617843166448534,-0.0027826459156748903,-0.00018448883862925365,0.0006870627945880622,7.0e-5,-0.00040429975100356977,0.0004894279960587727,0.00012641756741858256
413.18758001564737,0.0005441512047224085,0.001040306676488339,-0.002734421041733077,-0.00017870434250242918,0.0017862527932927528,7.0e-5,-0.0006349454544033236,0.0009707666948800926,0.00011028056655458595
